pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp585,mid,fhcf_total_postcap_usd,5,2985792155.863271,2835958648.596911,2422340267.795753,612676264.6158487,5263261518.289198,484269291.3610034,6507417448.921659
ssp585,mid,fhcf_total_precap_usd,5,5124902838.5048,5196508034.488615,4746250783.329413,1053056931.9443736,9985881567.154854,794982057.4312801,12684435770.188295
ssp585,mid,figa_collected_usd,5,125559940.54325187,102962135.53430955,72124700.26426531,29313516.630511917,170249555.8966349,19925799.28663729,199388089.0925051
ssp585,mid,figa_residual_deficit_usd,5,5966031028.95711,6529424861.529838,6341267997.587968,1207308270.0812855,12991732628.046381,874713518.6922339,16758304414.561937
ssp585,mid,flood_insured_capped_pct,5,0.6028553210244407,0.6538998112809917,0.6825342456387474,-0.03053820356837378,1.2858863941472702,-0.3679763737056122,1.3114298558390574
ssp585,mid,flood_insured_capped_usd,5,2104339416.103926,2201445684.1732254,2081991760.299001,399711334.41845727,4319421780.396957,291106204.16664135,5498781360.386025
ssp585,mid,flood_un_derinsured_pct,5,4.044515297209485,3.919516137722396,3.0909239587020876,0.7442500579540754,6.641801430127415,-0.8707437054826022,6.69487036308506
ssp585,mid,flood_un_derinsured_usd,5,9115316415.067915,9262966229.492744,8300243164.51133,1944116730.550457,17678167267.46098,1456210520.1756752,22256180005.089905
ssp585,mid,group_contrib_total_usd,5,2615109159.120308,2861499180.9896154,2772449721.5566683,536617270.67841434,5686706063.3099575,396864769.9496044,7334978408.336719
ssp585,mid,group_supported_companies,5,4.095228198695434,3.741734254845528,3.016342787847236,0.8991599147216945,6.719575702379757,0.6406324304765842,8.226159503966262
ssp585,mid,insured_citizens_wind_pre_usd,5,3642682832.8689504,3853469760.1901617,3666777489.2572002,731608101.1920676,7570406155.785342,533230838.8452784,9727508509.87805
ssp585,mid,insured_flood_pre_usd,5,2104339416.103926,2202224998.527841,2083534707.9346669,399711334.41845727,4321759723.460804,291106204.16664135,5502677932.159104
