pathway,time_category,metric,era5_baseline,delta_median,delta_p10,delta_p90,scaled_median,scaled_p10,scaled_p90,n_models
ssp245,near,wind_insured_private_pct,20.511926737827867,0.4166195001826242,0.17870140554030206,1.0747410633274894,29.05759540312432,24.17743687621741,42.55693669093655,5
ssp245,near,wind_insured_private_usd,5491050988.223578,6.831891219435765,1.0106280206400151,14.17223524502364,43005314020.14233,11040460979.685373,83311517335.74767,5
ssp245,near,wind_total_usd,16304436396.651468,6.949199970165953,0.9962522139544467,14.010051119383483,129607225317.83453,32547767254.094955,244730423786.4752,5
ssp245,near,wind_underinsured_pct,10.951058655424745,0.4213030457199768,0.15815409669021013,1.0671234073263345,15.564773020813304,12.683013444874954,22.637189681632147,5
ssp245,near,wind_underinsured_usd,2969616746.555762,7.104042975796164,0.9938808014153193,13.903767373042486,24065901735.731876,5921061818.518955,44258477177.75834,5
ssp245,near,wind_uninsured_pct,25.378578795587508,0.4252362277891347,0.16796503302889076,1.0744182516507146,36.17046990927246,29.641292621214674,52.645787054522536,5
ssp245,near,wind_uninsured_usd,6765845907.801158,7.086309253740188,0.9612234168177501,13.984047192518643,54710722373.63268,13269335428.960178,101379754379.8017,5
ssp245,near,year_id,5000.5,0.0,0.0,0.0,5000.5,5000.5,5000.5,5
ssp585,mid,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp585,mid,catbond_limit_in_force_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp585,mid,catbond_payout_usd,511945273.42870957,3.242418209825849,1.0105326972683135,8.393023587989095,2171885950.428231,1029282711.4403878,4808714029.075396,5
ssp585,mid,catbond_triggers,3.6528,2.6409239485726737,0.8374021349428502,6.65362236598226,13.299566999346263,6.711662518519243,27.95715177846,5
ssp585,mid,citizens_residual_deficit_usd,718277468.2344651,12.734626571612381,3.571775470806549,53.10188252341877,9865272801.003553,3283803310.5073576,38860163205.639694,5
ssp585,mid,citizens_tier1_capacity_usd,539937478.65,0.0,0.0,1.32470103592926e-16,539937478.65,539937478.65,539937478.6500001,5
ssp585,mid,citizens_tier1_usd,100789599.68242246,4.458197961800736,1.4428251362140243,12.0968450696008,550129587.5573103,246211367.5731706,1320025771.667773,5
ssp585,mid,citizens_tier2_capacity_usd,359958319.09999996,0.0,-9.935257769469449e-17,0.0,359958319.09999996,359958319.0999999,359958319.09999996,5
ssp585,mid,citizens_tier2_usd,49554667.266172744,5.363000525908557,1.7230681788000435,14.663971534636993,315316373.8758807,134940737.54353917,776222897.4657375,5
ssp585,mid,defaulted_premium_base_pct,4.590575368681856,6.255411917739236,2.036989104514393,17.86465502793065,33.30651523921453,13.94152737813894,86.59962070989877,5
ssp585,mid,defaults_post,2.1875,7.481937862032647,2.3000616489303765,22.537182708620275,18.554239073196417,7.218884857035198,51.48758717510685,5
ssp585,mid,defaults_pre,3.4775,7.617889420521,2.3165009015699383,22.975727249462583,29.968710459861775,11.53313188520946,83.37559151000613,5
ssp585,mid,diag_group_shortfall_total_usd,6174970.940672383,31.04833770494996,10.536964146558159,343.93060842607224,197897554.02492103,71240418.34857579,2129936483.5794406,5
ssp585,mid,diag_groups_fully_funded_share,0.9986226415094339,-0.004932251742160335,-0.009275157110441414,-0.0010788443260969648,0.9936971832460882,0.9893602596153899,0.9975452831387295,5
ssp585,mid,diag_groups_with_shortfall,0.073,11.773584905660378,3.1027021553655896,42.87574921945701,0.9324716981132075,0.29949725734168803,3.2029296930203617,5
ssp585,mid,fhcf_recovery_citizens_usd,160490599.41146898,6.848106863452335,3.030845178859924,27.941664385596386,1259547374.760729,646912758.890059,4644865065.2099285,5
ssp585,mid,fhcf_recovery_private_usd,805045573.3874182,9.407747815328644,2.8670630718489485,32.40079694600408,8378711307.662897,3113162008.0019474,26889163728.992577,5
ssp585,mid,fhcf_scaling_factor,0.9895177457955809,-0.05136962300830263,-0.10408746542717046,-0.010259442646253655,0.9386865922340365,0.8865213516405118,0.9793658452351409,5
ssp585,mid,fhcf_shortfall_usd,345602104.79177666,18.365246146269712,8.947354408392014,791.9130125136289,6692669827.961654,3437826620.6500382,274032406041.4985,5
ssp585,mid,fhcf_total_postcap_usd,965536172.7988871,8.926798364462597,2.8710617167285326,31.673612670001837,9584682900.969467,3737650114.638357,31547554928.906803,5
ssp585,mid,fhcf_total_precap_usd,1311138277.5906637,11.443467550104813,3.902844222442382,51.54471329794295,16315106610.89974,6428306729.108441,68893384889.96016,5
ssp585,mid,figa_collected_usd,48326314.97494906,5.430633576425862,1.8451927911785964,15.47756687937289,310768823.7028394,137497682.99095133,796300087.0333627,5
ssp585,mid,figa_residual_deficit_usd,1292311924.0864177,17.00985534985248,4.779847154787069,86.45585676183416,23274350819.68592,7469365397.528283,113020246524.51204,5
ssp585,mid,flood_insured_capped_pct,2.1724964393234587,0.3316601319223508,-0.04331755362129691,1.0916056502112885,2.893026894990314,2.0783892083209885,4.544005827552852,5
ssp585,mid,flood_insured_capped_usd,644954483.8175347,11.108394601451254,2.751255042147335,34.70358298215489,7809363390.038017,2419388759.3760586,23027185932.692223,5
ssp585,mid,flood_un_derinsured_pct,8.766038047287509,0.5092233376814591,0.10147683184731454,1.1717210904856614,13.229909199969915,9.655587816179265,19.03738970729403,5
ssp585,mid,flood_un_derinsured_usd,2394397814.7612963,12.853509926755866,3.29576776814435,40.383456887306785,33170813895.39817,10285776956.766842,99088458738.23569,5
ssp585,mid,group_contrib_total_usd,572184876.4533527,16.81570001027014,4.900030417076246,84.87353967862387,10193874109.306416,3375908175.2657948,49135540691.62548,5
ssp585,mid,group_supported_companies,1.3025,7.985138764547896,2.3459086681989354,24.405608752834258,11.703143240823636,4.358046040329113,33.09080540056662,5
ssp585,mid,insured_citizens_wind_pre_usd,1077922754.0709696,9.717026176745312,2.8199829276694297,35.72985292372428,11552126371.887981,4117646517.897517,39591944220.16253,5
ssp585,mid,insured_flood_pre_usd,644954483.8175347,11.108394601451254,2.751255042147335,34.71276513324636,7809363390.038017,2419388759.3760586,23033108002.209755,5
ssp585,mid,insured_private_wind_pre_usd,5491050988.223578,11.292062279508134,3.0786845376125958,40.2896172829913,67496340727.198906,22396264760.90987,226723393785.14273,5
ssp585,mid,largest_entity_deficit_usd,328194908.3869914,14.792800617659186,4.203851622558877,66.61465754793774,5183116751.886678,1707877606.525207,22190786339.56322,5
ssp585,mid,nfip_borrowed_usd,345997559.61779946,19.47897998703147,5.362622273502593,71.7399736644031,7085677098.974643,2201451779.401752,25167853374.546474,5
ssp585,mid,nfip_claims_paid_usd,644954483.8175347,11.108394601451254,2.751255042147335,34.70358298215489,7809363390.038017,2419388759.3760586,23027185932.692223,5
ssp585,mid,nfip_fl_premium_base_usd,1395853723.0,0.0,0.0,0.0,1395853723.0,1395853723.0,1395853723.0,5
ssp585,mid,nfip_fl_premium_depletion_usd,182250316.13919604,4.861638257505656,1.514151975134477,14.108889372408962,1068285425.524012,458204992.2902426,2753599864.6336727,5
ssp585,mid,nfip_pool_used_usd,298956924.1997352,5.94902843457353,1.7798646501441382,18.297717964365695,2077460166.9766035,831059785.4986646,5769186406.700744,5
ssp585,mid,rescued_defaults,1.29,7.850351161534306,2.3144622143172966,23.883123340068884,11.416952998379255,4.275656256469313,32.09922910868886,5
ssp585,mid,total_damage_usd,19343788695.230297,11.423325239432678,3.0000962384557495,40.02747975511154,240314178323.70706,77377016397.27356,793626899080.7166,5
ssp585,mid,underinsured_wind_usd,2969616746.555762,11.33992489136848,2.9568981609101215,40.04923860426063,36644847608.648125,11750471043.054392,121900506392.57564,5
ssp585,mid,uninsured_wind_usd,6765845907.801158,11.425927175648782,2.997852384585201,40.51808252514661,84071908531.99852,27048853196.238884,280904948752.514,5
ssp585,mid,water_total_usd,3039352298.578831,12.479302635381122,3.1502609715093994,39.29740247652355,40968349448.08531,12614105223.459106,122478002843.77814,5
ssp585,mid,wind_insured_citizens_pct,3.6899013245489156,0.3518519553198125,0.008845653370810586,1.18498019045047,4.988200320528618,3.72254091263837,8.062361298856331,5
ssp585,mid,wind_insured_citizens_usd,1077922754.0709696,9.717026176745312,2.8199829276694297,35.72985292372428,11552126371.887981,4117646517.897517,39591944220.16253,5
ssp585,mid,wind_insured_private_pct,20.511926737827867,0.48355503658512855,0.09759523040063067,1.169986264380726,30.4305722219697,22.513792953767034,44.51059927707022,5
ssp585,mid,wind_insured_private_usd,5491050988.223578,11.292062279508134,3.0786845376125958,40.2896172829913,67496340727.198906,22396264760.90987,226723393785.14273,5
ssp585,mid,wind_total_usd,16304436396.651468,11.244842933474514,2.977223713620123,40.16658047964372,199645262795.8224,64846391073.97325,671197893097.985,5
ssp585,mid,wind_underinsured_pct,10.951058655424745,0.46951488760136495,0.07378990175765501,1.1897904958310972,16.09274372914245,11.759136197750856,23.980524162937986,5
ssp585,mid,wind_underinsured_usd,2969616746.555762,11.33992489136848,2.9568981609101215,40.04923860426063,36644847608.648125,11750471043.054392,121900506392.57564,5
ssp585,mid,wind_uninsured_pct,25.378578795587508,0.46940930321752417,0.07497578672455332,1.192556970927723,37.29151978467527,27.281357706737747,55.64397985050388,5
ssp585,mid,wind_uninsured_usd,6765845907.801158,11.425927175648782,2.997852384585201,40.51808252514661,84071908531.99852,27048853196.238884,280904948752.514,5
