model,period,time_category,pathway,metric,historical_value,future_value,delta_absolute,delta_relative
canesm,ssp585_2cal,mid,ssp585,wind_total_usd,2545697289.3634353,11354966753.113731,8809269463.750296,3.460454430523866
canesm,ssp585_2cal,mid,ssp585,water_total_usd,413511187.72676116,2090168839.3444188,1676657651.6176577,4.05468510014185
canesm,ssp585_2cal,mid,ssp585,underinsured_wind_usd,462038621.0917074,2094098967.8177788,1632060346.7260714,3.5323028686862368
canesm,ssp585_2cal,mid,ssp585,uninsured_wind_usd,1068542760.5448261,4919405268.726894,3850862508.1820683,3.6038450218113867
canesm,ssp585_2cal,mid,ssp585,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
canesm,ssp585_2cal,mid,ssp585,wind_insured_private_usd,860827887.2945501,4037803279.7734084,3176975392.4788585,3.690604636965938
canesm,ssp585_2cal,mid,ssp585,wind_insured_citizens_usd,154288020.43235102,687518859.2776294,533230838.8452784,3.4560741485375286
canesm,ssp585_2cal,mid,ssp585,wind_underinsured_usd,462038621.0917074,2094098967.8177788,1632060346.7260714,3.5323028686862368
canesm,ssp585_2cal,mid,ssp585,wind_uninsured_usd,1068542760.5448261,4919405268.726894,3850862508.1820683,3.6038450218113867
canesm,ssp585_2cal,mid,ssp585,flood_insured_capped_usd,80629474.99125698,371735679.15789837,291106204.16664135,3.610419194695331
canesm,ssp585_2cal,mid,ssp585,flood_un_derinsured_usd,332881712.73550415,1789092232.9111793,1456210520.1756752,4.374558482678584
canesm,ssp585_2cal,mid,ssp585,wind_insured_private_pct,14.840131153440463,12.671527927450947,-2.168603225989516,-0.1461310013750625
canesm,ssp585_2cal,mid,ssp585,wind_insured_citizens_pct,1.9526318049507136,1.5374165989194697,-0.41521520603124396,-0.212643881441706
canesm,ssp585_2cal,mid,ssp585,wind_underinsured_pct,7.662562324366621,6.421438336563279,-1.2411239878033422,-0.1619724493276382
canesm,ssp585_2cal,mid,ssp585,wind_uninsured_pct,17.722962280837034,14.712026413261945,-3.010935867575089,-0.16988897340433126
canesm,ssp585_2cal,mid,ssp585,flood_insured_capped_pct,1.31212909340994,0.9441527197043279,-0.3679763737056122,-0.28044220309856943
canesm,ssp585_2cal,mid,ssp585,flood_un_derinsured_pct,6.339583342995228,5.468839637512626,-0.8707437054826022,-0.13735030496045292
canesm,ssp585_2cal,mid,ssp585,insured_private_wind_pre_usd,860827887.2945501,4037803279.7734084,3176975392.4788585,3.690604636965938
canesm,ssp585_2cal,mid,ssp585,insured_citizens_wind_pre_usd,154288020.43235102,687518859.2776294,533230838.8452784,3.4560741485375286
canesm,ssp585_2cal,mid,ssp585,insured_flood_pre_usd,80629474.99125698,371735679.15789837,291106204.16664135,3.610419194695331
canesm,ssp585_2cal,mid,ssp585,defaults_pre,0.6876,2.3758916571901167,1.6882916571901168,2.455339815576086
canesm,ssp585_2cal,mid,ssp585,defaults_post,0.4257,1.4384,1.0127,2.378905332393704
canesm,ssp585_2cal,mid,ssp585,rescued_defaults,0.2619,0.8888659154347152,0.6269659154347151,2.393913384630451
canesm,ssp585_2cal,mid,ssp585,group_contrib_total_usd,55146919.2058942,452011689.15549856,396864769.9496044,7.196499381368647
canesm,ssp585_2cal,mid,ssp585,group_supported_companies,0.2625,0.9031324304765843,0.6406324304765842,2.440504497053654
canesm,ssp585_2cal,mid,ssp585,defaulted_premium_base_pct,1.0206296127848284,3.062414781124328,2.0417851683394996,2.0005153120811454
canesm,ssp585_2cal,mid,ssp585,largest_entity_deficit_usd,38189735.0155562,256184945.64823866,217995210.63268244,5.708214800230594
canesm,ssp585_2cal,mid,ssp585,diag_group_shortfall_total_usd,318985.3947500718,6625210.305542631,6306224.910792559,19.769635270397092
canesm,ssp585_2cal,mid,ssp585,diag_groups_with_shortfall,0.0112,0.05427478548537165,0.04307478548537165,3.845962989765326
canesm,ssp585_2cal,mid,ssp585,diag_groups_fully_funded_share,0.9997886792452829,0.9989759474436724,-0.0008127318016105667,-0.0008129035850096631
canesm,ssp585_2cal,mid,ssp585,figa_residual_deficit_usd,128533353.04411279,1003246871.7363467,874713518.6922339,6.805342722149567
canesm,ssp585_2cal,mid,ssp585,figa_collected_usd,11480936.627095373,31406735.913732667,19925799.28663729,1.7355552019694782
canesm,ssp585_2cal,mid,ssp585,citizens_residual_deficit_usd,84389555.4782708,478405027.6336344,394015472.15536356,4.669007555761061
canesm,ssp585_2cal,mid,ssp585,citizens_tier1_usd,28514260.862281054,62476359.66065617,33962098.798375115,1.1910566071625064
canesm,ssp585_2cal,mid,ssp585,citizens_tier2_usd,11155768.478832468,29037124.89610442,17881356.417271953,1.6028798420477228
canesm,ssp585_2cal,mid,ssp585,citizens_tier1_capacity_usd,539937478.65,539937478.65,0.0,0.0
canesm,ssp585_2cal,mid,ssp585,citizens_tier2_capacity_usd,359958319.09999996,359958319.0999999,-5.960464477539063e-08,-1.6558762949115748e-16
