model,metric,era5_value,gcm_20thcal_value,bias_absolute,bias_relative
cnrm6,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
cnrm6,year_id,5000.5,5000.5,0.0,0.0
ecearth6,total_damage_usd,19343788695.230297,4607603880.672565,-14736184814.557732,-0.7618044761929865
ecearth6,wind_total_usd,16304436396.651468,3867540072.178868,-12436896324.4726,-0.7627921641637876
ecearth6,water_total_usd,3039352298.578831,740063808.493698,-2299288490.085133,-0.7565060789959281
ecearth6,underinsured_wind_usd,2969616746.555762,691272895.053678,-2278343851.502084,-0.7672181449490295
ecearth6,uninsured_wind_usd,6765845907.801158,1625548633.2376015,-5140297274.563557,-0.7597419959914679
ecearth6,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
ecearth6,wind_insured_private_usd,5491050988.223578,1297445601.6908906,-4193605386.532688,-0.7637163441983208
ecearth6,wind_insured_citizens_usd,1077922754.0709696,269195137.4933471,-808727616.5776224,-0.7502649086154984
ecearth6,wind_underinsured_usd,2969616746.555762,691272895.053678,-2278343851.502084,-0.7672181449490295
ecearth6,wind_uninsured_usd,6765845907.801158,1625548633.2376015,-5140297274.563557,-0.7597419959914679
ecearth6,flood_insured_capped_usd,644954483.8175347,169745487.05483168,-475208996.762703,-0.7368101295302341
ecearth6,flood_un_derinsured_usd,2394397814.7612963,573365074.7422342,-1821032740.019062,-0.7605389249825245
ecearth6,wind_insured_private_pct,20.511926737827867,13.531390582538425,-6.9805361552894425,-0.34031596565797084
ecearth6,wind_insured_citizens_pct,3.6899013245489156,1.9649469212996429,-1.7249544032492727,-0.4674798189786676
ecearth6,wind_underinsured_pct,10.951058655424745,6.913701010110295,-4.03735764531445,-0.36867281715402866
ecearth6,wind_uninsured_pct,25.378578795587508,16.05794175652373,-9.32063703906378,-0.36726394784109534
ecearth6,flood_insured_capped_pct,2.1724964393234587,1.2528529116155633,-0.9196435277078954,-0.4233118688076116
ecearth6,flood_un_derinsured_pct,8.766038047287509,5.745579108302944,-3.0204589389845653,-0.3445637496313618
