pathway,time_category,metric,era5_baseline,delta_median,delta_p10,delta_p90,scaled_median,scaled_p10,scaled_p90,n_models
ssp245,near,water_total_usd,3039352298.578831,4675161369.182147,669281311.8542982,8027636528.29403,7714513667.760979,3708633610.4331293,11066988826.872862,5
ssp245,near,wind_insured_citizens_pct,3.6899013245489156,1.1316092987125534,0.3612646228597074,1.9172813079467765,4.821510623261469,4.051165947408623,5.607182632495692,5
ssp245,near,wind_insured_citizens_usd,1077922754.0709696,1537612149.9521623,210804393.17639047,2756116068.4059315,2615534904.023132,1288727147.24736,3834038822.476901,5
ssp245,near,wind_insured_private_pct,20.511926737827867,7.798264736165482,2.73038436401417,14.205821001004306,28.31019147399335,23.242311101842038,34.71774773883217,5
ssp245,near,wind_insured_private_usd,5491050988.223578,8372624471.3746805,1226225270.721778,14362426074.179983,13863675459.598259,6717276258.945356,19853477062.40356,5
ssp245,near,wind_total_usd,16304436396.651468,24453028502.395756,3568880121.86683,42894089698.54188,40757464899.047226,19873316518.5183,59198526095.193344,5
ssp245,near,wind_underinsured_pct,10.951058655424745,4.108783177097564,1.2517962514074752,7.20366506549941,15.05984183252231,12.20285490683222,18.154723720924157,5
ssp245,near,wind_underinsured_usd,2969616746.555762,4371917012.884523,629861096.8458134,7787405820.54471,7341533759.440285,3599477843.401575,10757022567.100471,5
ssp245,near,wind_uninsured_pct,25.378578795587508,9.592869023302853,3.0876944372912236,16.90316586511581,34.97144781889036,28.46627323287873,42.28174466070332,5
ssp245,near,wind_uninsured_usd,6765845907.801158,10165588784.625048,1444370917.5870657,17981772857.29259,16931434692.426205,8210216825.388224,24747618765.09375,5
ssp245,near,year_id,5000.5,0.0,0.0,0.0,5000.5,5000.5,5000.5,5
ssp585,mid,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp585,mid,catbond_limit_in_force_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp585,mid,catbond_payout_usd,511945273.42870957,979917638.7644093,238523483.89505196,1373419599.257734,1491862912.1931188,750468757.3237615,1885364872.6864436,5
ssp585,mid,catbond_triggers,3.6528,6.0596000000000005,1.5105456911598583,8.426233625519421,9.7124,5.163345691159858,12.079033625519422,5
ssp585,mid,catbond_unfilled_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ssp585,mid,citizens_residual_deficit_usd,718277468.2344651,2783876867.9496846,547870828.7862407,6188561532.430877,3502154336.1841497,1266148297.0207057,6906839000.665342,5
ssp585,mid,citizens_tier1_capacity_usd,539937478.65,0.0,0.0,7.152557373046876e-08,539937478.65,539937478.65,539937478.6500001,5
ssp585,mid,citizens_tier1_usd,100789599.68242246,229377877.02821866,53480264.930962354,314448147.5010149,330167476.71064115,154269864.6133848,415237747.18343735,5
ssp585,mid,citizens_tier2_capacity_usd,359958319.09999996,0.0,-3.5762786865234374e-08,0.0,359958319.09999996,359958319.0999999,359958319.09999996,5
ssp585,mid,citizens_tier2_usd,49554667.266172744,124234264.10583134,26712422.825964443,180993873.95837155,173788931.3720041,76267090.09213719,230548541.2245443,5
ssp585,mid,defaulted_premium_base_pct,4.590575368681856,12.728808623935732,2.9148991963240416,18.563718390188665,17.31938399261759,7.505474565005898,23.154293758870523,5
ssp585,mid,defaults_post,2.1875,6.5745000000000005,1.4434200000000001,10.447479999999999,8.762,3.63092,12.634979999999999,5
ssp585,mid,defaults_pre,3.4775,10.589733166081285,2.3484678434874144,16.968067713625867,14.067233166081284,5.8259678434874145,20.445567713625866,5
ssp585,mid,diag_group_shortfall_total_usd,6174970.940672383,46447815.48276697,8410274.172501517,132071994.27238059,52622786.42343935,14585245.1131739,138246965.213053,5
ssp585,mid,diag_groups_fully_funded_share,0.9986226415094339,-0.004931644718779937,-0.00927219634463563,-0.0010784064097360212,0.993690996790654,0.9893504451647983,0.9975442350996979,5
ssp585,mid,diag_groups_with_shortfall,0.073,0.2613771700953337,0.05715553971601252,0.49142640626568934,0.3343771700953337,0.1301555397160125,0.5644264062656893,5
ssp585,mid,fhcf_recovery_citizens_usd,160490599.41146898,416048270.47470486,79433638.7134129,797223095.3454347,576538869.8861738,239924238.12488186,957713694.7569036,5
ssp585,mid,fhcf_recovery_private_usd,805045573.3874182,2569743885.388567,533242625.90243566,4466038422.943763,3374789458.7759852,1338288199.2898538,5271083996.331181,5
ssp585,mid,fhcf_scaling_factor,0.9895177457955809,-0.051365469758958726,-0.10382173851347672,-0.010232495889788473,0.9381522760366222,0.8856960072821042,0.9792852499057925,5
ssp585,mid,fhcf_shortfall_usd,345602104.79177666,2139110682.6415277,440380667.328525,4722620048.865656,2484712787.4333043,785982772.1203017,5068222153.657433,5
ssp585,mid,fhcf_total_postcap_usd,965536172.7988871,2985792155.863271,612676264.6158487,5263261518.289198,3951328328.6621585,1578212437.4147358,6228797691.088085,5
ssp585,mid,fhcf_total_precap_usd,1311138277.5906637,5124902838.5048,1053056931.9443736,9985881567.154854,6436041116.095464,2364195209.535037,11297019844.745518,5
ssp585,mid,figa_collected_usd,48326314.97494906,125559940.54325187,29313516.630511917,170249555.8966349,173886255.51820093,77639831.60546097,218575870.87158397,5
ssp585,mid,figa_residual_deficit_usd,1292311924.0864177,5966031028.95711,1207308270.0812855,12991732628.046381,7258342953.043528,2499620194.167703,14284044552.1328,5
ssp585,mid,flood_insured_capped_pct,2.1724964393234587,0.6028553210244407,-0.03053820356837378,1.2858863941472702,2.7753517603478994,2.141958235755085,3.458382833470729,5
ssp585,mid,flood_insured_capped_usd,644954483.8175347,2104339416.103926,399711334.41845727,4319421780.396957,2749293899.9214606,1044665818.235992,4964376264.214492,5
ssp585,mid,flood_un_derinsured_pct,8.766038047287509,4.044515297209485,0.7442500579540754,6.641801430127415,12.810553344496995,9.510288105241585,15.407839477414925,5
ssp585,mid,flood_un_derinsured_usd,2394397814.7612963,9115316415.067915,1944116730.550457,17678167267.46098,11509714229.829212,4338514545.311753,20072565082.222275,5
ssp585,mid,group_contrib_total_usd,572184876.4533527,2615109159.120308,536617270.67841434,5686706063.3099575,3187294035.573661,1108802147.131767,6258890939.76331,5
ssp585,mid,group_supported_companies,1.3025,4.095228198695434,0.8991599147216945,6.719575702379757,5.397728198695434,2.2016599147216946,8.022075702379757,5
ssp585,mid,insured_citizens_wind_pre_usd,1077922754.0709696,3642682832.8689504,731608101.1920676,7570406155.785342,4720605586.93992,1809530855.2630372,8648328909.856312,5
ssp585,mid,insured_flood_pre_usd,644954483.8175347,2104339416.103926,399711334.41845727,4321759723.460804,2749293899.9214606,1044665818.235992,4966714207.278338,5
ssp585,mid,insured_private_wind_pre_usd,5491050988.223578,20724494116.036808,4352250462.948125,40496667601.126976,26215545104.260387,9843301451.171703,45987718589.350555,5
ssp585,mid,largest_entity_deficit_usd,328194908.3869914,1427505569.8403635,296694099.8831833,2997438523.4664874,1755700478.227355,624889008.2701747,3325633431.853479,5
ssp585,mid,nfip_borrowed_usd,345997559.61779946,1304163035.116374,235186276.52207285,3047521390.1286855,1650160594.7341735,581183836.1398723,3393518949.7464848,5
ssp585,mid,nfip_claims_paid_usd,644954483.8175347,2104339416.103926,399711334.41845727,4319421780.396957,2749293899.9214606,1044665818.235992,4964376264.214492,5
ssp585,mid,nfip_fl_premium_base_usd,1395853723.0,0.0,0.0,0.0,1395853723.0,1395853723.0,1395853723.0,5
ssp585,mid,nfip_fl_premium_depletion_usd,182250316.13919604,448117350.94784,93977747.48800257,647873980.4133928,630367667.087036,276228063.6271986,830124296.5525888,5
ssp585,mid,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ssp585,mid,nfip_pool_used_usd,298956924.1997352,800228596.9213109,161314490.8372413,1272104268.295934,1099185521.121046,460271415.0369765,1571061192.4956691,5
ssp585,mid,rescued_defaults,1.29,4.016229252383341,0.8811908972677264,6.522039407571042,5.306229252383341,2.1711908972677265,7.812039407571042,5
ssp585,mid,total_damage_usd,19343788695.230297,72407223391.94614,14725465138.991798,142000200607.03394,91751012087.17644,34069253834.222095,161343989302.26422,5
ssp585,mid,underinsured_flood_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ssp585,mid,underinsured_wind_usd,2969616746.555762,11004623567.135569,2236105508.471964,21538147199.51813,13974240313.69133,5205722255.027725,24507763946.073895,5
ssp585,mid,uninsured_wind_usd,6765845907.801158,25809507645.751682,5288657736.822432,50386009233.58554,32575353553.55284,12054503644.623589,57151855141.386696,5
ssp585,mid,water_total_usd,3039352298.578831,11220629146.59379,2308746807.3558784,21999417099.83996,14259981445.17262,5348099105.93471,25038769398.41879,5
ssp585,mid,wind_insured_citizens_pct,3.6899013245489156,1.013130495229103,0.09294378983717244,2.259769157984967,4.703031819778019,3.782845114386088,5.949670482533882,5
ssp585,mid,wind_insured_citizens_usd,1077922754.0709696,3642682832.8689504,731608101.1920676,7570406155.785342,4720605586.93992,1809530855.2630372,8648328909.856312,5
ssp585,mid,wind_insured_private_pct,20.511926737827867,9.0511610429758,1.6515545950001878,15.319729933791638,29.563087780803667,22.163481332828056,35.831656671619506,5
ssp585,mid,wind_insured_private_usd,5491050988.223578,20724494116.036808,4352250462.948125,40496667601.126976,26215545104.260387,9843301451.171703,45987718589.350555,5
