pathway_abs,time_category,metric,era5_baseline_abs,delta_median_abs,delta_p10_abs,delta_p90_abs,scaled_median_abs,scaled_p10_abs,scaled_p90_abs,n_models_abs,pathway_rel,era5_baseline_rel,delta_median_rel,delta_p10_rel,delta_p90_rel,scaled_median_rel,scaled_p10_rel,scaled_p90_rel,n_models_rel,diff_median,diff_median_pct
ssp245,mid,fhcf_recovery_citizens_usd,160490599.41146898,306058542.22137105,48770859.79586318,370247543.0907353,466549141.63284004,209261459.20733216,530738142.5022043,5,ssp245,160490599.41146898,7.813708436259744,2.284616816539539,16.65081028067726,1414517349.9732475,527150121.72342163,2832789122.0440125,5,-947968208.3404075,-67.0170788897242
ssp245,mid,fhcf_recovery_citizens_usd,160490599.41146898,306058542.22137105,48770859.79586318,370247543.0907353,466549141.63284004,209261459.20733216,530738142.5022043,5,ssp585,160490599.41146898,6.848106863452335,3.030845178859924,27.941664385596386,1259547374.760729,646912758.890059,4644865065.2099285,5,-792998233.127889,-62.95898423658194
ssp245,mid,fhcf_recovery_private_usd,805045573.3874182,1833327633.408291,333034444.1598332,2168521821.2214446,2638373206.795709,1138080017.5472512,2973567394.608863,5,ssp245,805045573.3874182,7.068733138279164,2.534430597067934,19.40762749331566,6495697895.816011,2845377706.6145897,16429070176.833143,5,-3857324689.0203023,-59.38275995724601
ssp245,mid,fhcf_recovery_private_usd,805045573.3874182,1833327633.408291,333034444.1598332,2168521821.2214446,2638373206.795709,1138080017.5472512,2973567394.608863,5,ssp585,805045573.3874182,9.407747815328644,2.8670630718489485,32.40079694600408,8378711307.662897,3113162008.0019474,26889163728.992577,5,-5740338100.8671875,-68.51099041468657
ssp245,mid,fhcf_scaling_factor,0.9895177457955809,-0.029880610733078572,-0.04006591419719352,-0.00594987941117464,0.9596371350625024,0.9494518315983874,0.9835678663844063,5,ssp245,0.9895177457955809,-0.0298830267847083,-0.04020138052679084,-0.0059569739904141335,0.9599479604940274,0.9497377663588404,0.9836232143208234,5,-0.0003108254315250525,-0.032379404334073415
ssp245,mid,fhcf_scaling_factor,0.9895177457955809,-0.029880610733078572,-0.04006591419719352,-0.00594987941117464,0.9596371350625024,0.9494518315983874,0.9835678663844063,5,ssp585,0.9895177457955809,-0.05136962300830263,-0.10408746542717046,-0.010259442646253655,0.9386865922340365,0.8865213516405118,0.9793658452351409,5,0.020950542828465868,2.2318996565833986
ssp245,mid,fhcf_shortfall_usd,345602104.79177666,1170987325.4083576,242252618.0392135,1631802423.1891437,1516589430.2001343,587854722.8309902,1977404527.9809203,5,ssp245,345602104.79177666,22.23405852882222,5.3541986363382135,423.05588335716755,8029739530.416289,2196024422.9835234,146554605837.57324,5,-6513150100.216155,-81.11284401623038
ssp245,mid,fhcf_shortfall_usd,345602104.79177666,1170987325.4083576,242252618.0392135,1631802423.1891437,1516589430.2001343,587854722.8309902,1977404527.9809203,5,ssp585,345602104.79177666,18.365246146269712,8.947354408392014,791.9130125136289,6692669827.961654,3437826620.6500382,274032406041.4985,5,-5176080397.761519,-77.33954506669527
ssp245,mid,fhcf_total_postcap_usd,965536172.7988871,2139386175.629662,381805303.95569634,2538769364.31218,3104922348.4285493,1347341476.7545834,3504305537.1110673,5,ssp245,965536172.7988871,6.7426222695918465,2.606770524987084,18.95723698089722,7475781873.609145,3482467408.859862,19269434214.17592,5,-4370859525.180595,-58.46692157526046
ssp245,mid,fhcf_total_postcap_usd,965536172.7988871,2139386175.629662,381805303.95569634,2538769364.31218,3104922348.4285493,1347341476.7545834,3504305537.1110673,5,ssp585,965536172.7988871,8.926798364462597,2.8710617167285326,31.673612670001837,9584682900.969467,3737650114.638357,31547554928.906803,5,-6479760552.540918,-67.60537223287278
ssp245,mid,fhcf_total_precap_usd,1311138277.5906637,3310373501.0380197,624057921.99491,4170571787.5013237,4621511778.628683,1935196199.5855737,5481710065.091988,5,ssp245,1311138277.5906637,8.724834465681557,3.6015083018918985,27.537590040544984,12750602711.188038,6033213669.261684,37416726652.348625,5,-8129090932.559355,-63.75456217004134
