pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp245,mid,wind_underinsured_pct,5,0.45173713220674844,0.621129726583509,0.4655753545761553,0.20614268789601384,1.1232841673927174,0.19900979747794398,1.1403014775441196
ssp245,mid,wind_underinsured_usd,5,7.878925573230115,10.323018205799386,9.449623518801154,2.4214121593609894,20.231317327324746,0.49650136491233043,25.294815156982718
ssp245,mid,wind_uninsured_pct,5,0.4726749130627736,0.6265589600880956,0.4654770960774774,0.20653457776613163,1.1253613247015846,0.20181634865819648,1.1374233889249759
ssp245,mid,wind_uninsured_usd,5,8.058175941655277,10.494277490119602,9.687621447150761,2.4594739524420075,20.60250610196967,0.5152336727178325,25.968243581455095
ssp245,mid,year_id,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,near,catbond_issue_volume_year_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,near,catbond_limit_in_force_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,near,catbond_payout_usd,5,2.4403259017371215,2.636191530057078,2.1171543794857564,0.5560749781632437,4.855724435103745,0.4063161429675533,5.171417426270852
ssp245,near,catbond_triggers,5,2.0302898234909565,2.241602655291614,1.786432528628881,0.49888430238695686,4.120278365996671,0.38940586432366164,4.350960571660247
ssp245,near,citizens_residual_deficit_usd,5,7.9790594920633575,8.833073676518653,8.394880270368063,1.1297390520501533,17.677202423794533,0.410886456825967,21.251203141337648
ssp245,near,citizens_tier1_capacity_usd,5,0.0,4.4156701197641997e-17,9.873738554007388e-17,0.0,1.32470103592926e-16,0.0,2.2078350598821e-16
ssp245,near,citizens_tier1_usd,5,3.289985728772481,3.5149006401161196,2.892388571746423,0.6983567498174388,6.560949335109714,0.44257046670656053,7.284925014312968
ssp245,near,citizens_tier2_capacity_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,near,citizens_tier2_usd,5,3.8216342890624806,3.956621505792577,3.2427137476281023,0.7186007192068833,7.322126639789017,0.384171275444766,7.896519039733931
ssp245,near,defaulted_premium_base_pct,5,4.3880685219264235,4.64917809495114,3.82654141642882,0.8504585843504204,8.642561722189484,0.37542363935666345,9.374033987684305
ssp245,near,defaults_post,5,5.061506055818851,5.358553740913583,4.481666300093807,0.9197521035338185,10.041236161719576,0.3900182854684307,10.952397743300423
ssp245,near,defaults_pre,5,5.13290802764487,5.384211102519816,4.534073760925687,0.8965354359749369,10.118504711165896,0.3847628606175258,11.114142905178213
ssp245,near,diag_group_shortfall_total_usd,5,13.265874663685333,30.17653614744728,41.3020299112643,2.323857658820786,73.04154198457971,0.531753448226668,101.06163262167361
ssp245,near,diag_groups_fully_funded_share,5,-0.002105488751704182,-0.0020138474629652217,0.0016744200715679129,-0.003673115643633181,-0.0003017362448289271,-0.0037131078604712236,-0.00023365445559546733
