county_name,is_coastal,wind_mean_present,rain_mean_present,surge_mean_present,wind_mean_future,rain_mean_future,surge_mean_future,wind_ratio,rain_ratio,surge_ratio,wind_pct_change,rain_pct_change,surge_pct_change,beta_wind,beta_rain,beta_surge,damage_scaling_wind,damage_scaling_rain,damage_scaling_surge,damage_scaling_total,damage_pct_increase
Levy,1,11.046788064243493,20.970508714688677,0.3336779024600512,13.989745975000748,37.64316181236786,0.4070436374025818,1.2664084462591116,1.7950523532578184,1.2198692647381688,26.640844625911164,79.50523532578184,21.98692647381688,3.0,0.52,0.62,2.031053648759607,1.3555642354606083,1.1311344754074717,3.114266230376805,211.42662303768049
Liberty,0,16.031626362989034,29.272642525714595,0.0,18.302656747501675,46.82663956813288,0.0,1.1416593794935375,1.5996724220345167,1.0,14.165937949353747,59.96724220345166,0.0,2.5,0.45,0.0,1.3926480409672162,1.2354181458682543,1.0,1.7205026606187748,72.05026606187748
Madison,0,16.414907607668958,33.23453344335327,0.0,18.660526739409566,48.2503305100093,0.0,1.1368036329298516,1.4518130708961716,1.0,13.680363292985165,45.181307089617164,0.0,2.5,0.45,0.0,1.3778870930632956,1.182659748440561,1.0,1.629571602861733,62.957160286173306
Manatee,1,11.17538171377727,18.982088817727362,0.24127880576164365,13.839356527965418,35.09689975037872,0.2774473685317114,1.2383788441449919,1.8489481973476776,1.1499029836164494,23.83788441449919,84.89481973476775,14.990298361644939,3.0,0.52,0.62,1.8991557047156429,1.3765781334937899,1.0904605147148998,2.8508304148773824,185.08304148773823
Marion,0,16.668533415526543,32.1295651497249,0.0,18.81161500556783,48.35568970131605,0.0,1.128570487159629,1.5050215890241672,1.0,12.857048715962893,50.50215890241672,0.0,2.5,0.45,0.0,1.3530745407834202,1.2019716610457296,1.0,1.6263572533041353,62.63572533041353
Martin,1,11.103285198559748,19.77459974406615,0.1608564713078736,13.274048178248414,33.19146630895317,0.16520249503206508,1.1955063519816542,1.6784898839949054,1.0270178543082615,19.550635198165423,67.84898839949054,2.7017854308261535,3.0,0.52,0.62,1.7086600441621307,1.3090545322274623,1.0166661316861474,2.274006797820651,127.40067978206508
Miami-Dade,1,11.041918891758089,14.366689771269604,0.44403280468693196,13.245196326100595,26.789503324202773,0.5081480873201031,1.1995375311486436,1.8646955482452658,1.1443927961259075,19.95375311486436,86.46955482452658,14.439279612590749,3.0,0.52,0.62,1.726002904422007,1.3826623135253844,1.0872178435557325,2.5946227357887484,159.46227357887483
Monroe,1,11.16270583187734,13.988521577318147,0.3687320558381111,13.423216068421818,26.606321653906747,0.4343288545315636,1.2025055634435493,1.902010916938997,1.1778977980272325,20.25055634435493,90.2010916938997,17.78977980272325,3.0,0.52,0.62,1.7388466500590907,1.3969818470986746,1.1068447721454615,2.6886778162014116,168.86778162014116
Nassau,1,11.55994773671586,16.278987241134946,0.1645949180023082,14.065782869094596,23.793740962457317,0.16673331512108527,1.216768706284993,1.4616228975664187,1.0129917992179314,21.6768706284993,46.16228975664187,1.2991799217931366,3.0,0.52,0.62,1.8014578085731818,1.2181881645726633,1.0080351503398788,2.212147835965308,121.2147835965308
Okaloosa,1,9.875671403010458,15.959326148690176,0.14619368965065369,12.877672081293651,29.082249055519753,0.16355654452685262,1.3039793702926068,1.8222729432491527,1.1187652911175443,30.39793702926068,82.22729432491526,11.87652911175443,3.0,0.52,0.62,2.217237228411299,1.3662147884148628,1.0720577240944738,3.2475011549365247,224.75011549365246
Okeechobee,0,16.91929238599336,34.66017565439505,0.0,18.497802896533493,52.07406042936427,0.0,1.0932964796181681,1.502417657838483,1.0,9.32964796181681,50.241765783848294,0.0,2.5,0.45,0.0,1.2498125295839466,1.2010353928177957,1.0,1.5010690824174582,50.10690824174582
Orange,0,16.92965564767052,34.731297619237516,0.0,18.630721991633713,50.630043521444,0.0,1.1004784904599503,1.4577642223087,1.0,10.047849045995028,45.77642223087,0.0,2.5,0.45,0.0,1.2704392303860752,1.1848388317045166,1.0,1.5052657334822226,50.52657334822226
Osceola,0,16.913539103871294,34.39668829907289,0.0,18.57395268573018,50.19495842031589,0.0,1.0981706710518184,1.4592962416783763,1.0,9.817067105181842,45.92962416783764,0.0,2.5,0.45,0.0,1.2637890902354854,1.1853990061559014,1.0,1.4980943315558153,49.80943315558153
Palm Beach,1,10.989426962972818,17.48001072055295,0.189067779493128,13.201204082213742,30.40278931229176,0.19487203652778406,1.201264080959734,1.7392888974178569,1.0306991828593628,20.126408095973392,73.92888974178568,3.0699182859362795,3.0,0.52,0.62,1.7334665842083483,1.3335008499540673,1.0189240136797344,2.355323519118943,135.53235191189432
Pasco,1,11.089287819824403,17.63625500233337,0.27645010968759803,13.869123850381412,32.34567585833507,0.3217732927019005,1.2506775750657224,1.8340444170268089,1.1639464680229343,25.067757506572242,83.40444170268088,16.394646802293433,3.0,0.52,0.62,1.9563028550865402,1.3707969251995904,1.098698329532645,2.946372650560744,194.63726505607443
Pinellas,1,11.069699252544062,13.536816830354457,0.29049053997842306,13.956358025670802,25.664059485191476,0.34367733712387605,1.2607711778341353,1.8958710094807765,1.1830924134637573,26.077117783413527,89.58710094807765,18.309241346375728,3.0,0.52,0.62,2.004051214270703,1.394635026987839,1.1098686265915392,3.1019940432530597,210.19940432530598
Polk,0,16.87640989470725,34.75009751956696,0.0,18.542285693804278,51.37476911032614,0.0,1.0987103128437976,1.4784064592334387,1.0,9.871031284379761,47.84064592334387,0.0,2.5,0.45,0.0,1.2653422294626455,1.192359546266072,1.0,1.50874288659338,50.874288659338006
Putnam,0,16.93898709256833,31.601860554847253,0.0,18.836886675759125,45.53385631416183,0.0,1.1120432680405192,1.4408599707056693,1.0,11.204326804051924,44.08599707056693,0.0,2.5,0.45,0.0,1.304079936926326,1.1786362641046395,1.0,1.537035904952659,53.7035904952659
Santa Rosa,1,13.313581921896876,21.588411604878473,0.1624830455475397,16.037781709862887,36.282870760253495,0.17570078490333818,1.2046180809438995,1.680664179637479,1.0813479213374906,20.461808094389955,68.06641796374791,8.134792133749059,3.0,0.52,0.62,1.7480269841837177,1.3099360396950057,1.049684003381886,2.4035701520123576,140.35701520123575
Sarasota,1,11.283389264768363,13.771255469388583,0.2242526455056073,13.898200413532974,24.84102691152603,0.25585407112754155,1.231739848344091,1.8038316232613831,1.1409182247659115,23.17398483440909,80.38316232613832,14.091822476591155,3.0,0.52,0.62,1.868774824842613,1.3590077021597564,1.0851700546216176,2.7559840121273385,175.59840121273385
Seminole,0,16.978137883069127,33.941928574361775,0.0,18.672822136660013,49.272997711106186,0.0,1.0998156667973102,1.4516852556409998,1.0,9.981566679731024,45.16852556409998,0.0,2.5,0.45,0.0,1.268527114795273,1.1826128935601374,1.0,1.5001765217875305,50.017652178753046
St. Johns,1,11.135641965874873,15.648043421819292,0.21178453435622446,13.541750698521048,24.85788259215313,0.21643528191023875,1.2160727261119708,1.5885616708431527,1.0219597035659278,21.607272611197082,58.85616708431527,2.19597035659278,3.0,0.52,0.62,1.7983683260004424,1.2721025447273426,1.0135587761250158,2.3187274570000627,131.87274570000628
St. Lucie,1,11.25752683079672,18.87017535939013,0.16152933868265892,13.362640256752718,31.399744691107838,0.1665368642241516,1.1869960667738375,1.6639879295819497,1.031000526478994,18.699606677383752,66.39879295819497,3.1000526478994095,3.0,0.52,0.62,1.6724295776738907,1.3031610449661517,1.0191087020008978,2.2210914425598256,122.10914425598256
Sumter,0,16.722610744920402,33.64503590264466,0.0,18.703143047948693,51.1059814271184,0.0,1.1184343889123594,1.5189753714641112,1.0,11.843438891235936,51.897537146411125,0.0,2.5,0.45,0.0,1.3228977568344726,1.2069737628916926,1.0,1.5967028834874828,59.67028834874828
Suwannee,0,16.618267081654523,29.74441431252677,0.0,18.875343209689643,43.328016463264,0.0,1.1358189744529867,1.4566773966814714,1.0,13.581897445298674,45.66773966814714,0.0,2.5,0.45,0.0,1.3749053402798845,1.1844412435449103,1.0,1.6284945909976445,62.849459099764445
Taylor,1,11.073814188995808,17.952818593195467,0.32122316910969634,14.090389314930718,31.99707625796848,0.3768243042623227,1.272406128732627,1.7822870158009114,1.1730913813450907,27.24061287326269,78.22870158009114,17.309138134509073,3.0,0.52,0.62,2.0600476068541083,1.3505428700321334,1.104042376655701,3.0716474981238364,207.16474981238363
Union,0,16.740203235385025,30.020820868739364,0.0,18.883412621108675,43.328079781679456,0.0,1.1280276725174827,1.4432676417429104,1.0,12.802767251748271,44.32676417429104,0.0,2.5,0.45,0.0,1.3514481387194308,1.1795221305319405,1.0,1.5940629878857686,59.40629878857686
Volusia,1,11.757719240179517,18.494464782841746,0.13949999613305117,14.131435097203696,30.079382600276308,0.14428857973292247,1.2018857234681013,1.6263991592653884,1.0343265190400799,20.18857234681013,62.63991592653883,3.4326519040079884,3.0,0.52,0.62,1.736159133518535,1.2877694362418015,1.0211457849029386,2.283049836539244,128.3049836539244
Wakulla,1,10.87059751757983,12.326209992636576,0.29320904827603617,13.953551764481384,22.39616750634905,0.35614533158847655,1.2836048302138865,1.8169548225101828,1.2146457247372042,28.36048302138865,81.69548225101828,21.464572473720423,3.0,0.52,0.62,2.11492040834669,1.3641400105285821,1.1281290119262695,3.2547058398087003,225.47058398087003
Walton,1,9.904234969632869,17.262484690949503,0.23283652323477474,13.022184937083903,31.563007409884033,0.24736363807150397,1.3148097417116174,1.8284161953821116,1.0623916396073378,31.480974171161733,82.84161953821116,6.2391639607337845,3.0,0.52,0.62,2.272944019628891,1.3686078633469763,1.0382369464728425,3.2297153681797948,222.97153681797948
Washington,0,15.8240133848989,29.061529830898156,0.0,17.947839756326466,44.07475714684587,0.0,1.1342153969130848,1.516601393206227,1.0,13.421539691308482,51.6601393206227,0.0,2.5,0.45,0.0,1.3700576634866801,1.2061245372178444,1.0,1.6524601653346334,65.24601653346333
