admin2_name,wind_weighted_present,rain_weighted_present,surge_weighted_present,is_coastal_present,n_extreme_events_present,mean_compound_hazard_present,wind_share_present,rain_share_present,surge_share_present,wind_deviation_pp_present,water_deviation_pp_present,wind_scaling_present,water_scaling_present,wind_weighted_future,rain_weighted_future,surge_weighted_future,is_coastal_future,n_extreme_events_future,mean_compound_hazard_future,wind_share_future,rain_share_future,surge_share_future,wind_deviation_pp_future,water_deviation_pp_future,wind_scaling_future,water_scaling_future,wind_share_change_pp,rain_share_change_pp,surge_share_change_pp,compound_hazard_change
Collier,6.467268833249211,0.7663425879017389,0.9867980711348314,1.0,241.0,8.220409492285782,78.67331717864231,9.322438117236036,12.004244704121676,8.673317178642307,-8.673317178642286,1.1239045311234614,0.7108894273785904,6.503636519641702,0.7916118459535678,1.017514952162577,1.0,1539.0,8.312763317757847,78.23675799536525,9.522848368153523,12.240393636481226,8.236757995365252,-8.236757995365252,1.1176679713623607,0.7254414001544915,-0.4365591832770548,0.20041025091748743,0.2361489323595496,1.01123469889897
Columbia,5.1854508263222225,0.5395128947554411,0.0,0.0,115.0,5.724963721077664,90.57613425969652,9.423865740303476,0.0,20.576134259696516,-20.576134259696524,1.2939447751385216,0.3141288580101159,5.111847843694176,0.5258530388210138,0.0,0.0,847.0,5.6377008825151895,90.67256227708181,9.327437722918194,0.0,20.67256227708181,-20.672562277081806,1.2953223182440259,0.3109145907639398,0.09642801738529272,-0.09642801738528206,0.0,0.9847574861931093
DeSoto,5.4277727189771205,0.5677391278585769,0.0,0.0,129.0,5.995511846835698,90.53059784781816,9.469402152181845,0.0,20.530597847818157,-20.530597847818157,1.2932942549688309,0.3156467384060614,5.274776492778854,0.5529041678417306,0.0,0.0,921.0,5.827680660620584,90.51244911928904,9.48755088071096,0.0,20.512449119289045,-20.512449119289037,1.293034987418415,0.31625169602369874,-0.018148728529112645,0.018148728529116198,0.0,0.972007196299063
Dixie,6.359807240031357,0.7060871454520329,1.0723936374307506,1.0,227.0,8.138288022914141,78.14674563157143,8.67611398692177,13.177140381506803,8.146745631571434,-8.146745631571427,1.1163820804510205,0.7284418122809524,6.388133112964907,0.7124116910570875,0.9906399678201647,1.0,1487.0,8.09118477184216,78.9517640877022,8.804788311550192,12.24344760074761,8.951764087702202,-8.951764087702198,1.1278823441100314,0.7016078637432601,0.8050184561307674,0.1286743246284221,-0.933692780759193,0.9942121425366911
Duval,6.324908739407421,0.7430122505414775,0.7574187324557504,1.0,220.0,7.8253397224046495,80.8259955960588,9.494952000795145,9.67905240314606,10.825995596058803,-10.825995596058796,1.1546570799436973,0.6391334801313735,6.092397704154281,0.7642982060432549,0.71166235795371,1.0,1440.0,7.568358268151246,80.49827305073518,10.098599708995454,9.403127240269386,10.498273050735179,-10.498273050735158,1.149975329296217,0.6500575649754947,-0.3277225453236241,0.6036477082003096,-0.275925162876673,0.967160345317962
Escambia,6.443900966029162,0.7502407320826383,1.2203374603079937,1.0,232.0,8.414479158419793,76.58110317596059,8.916068576055878,14.502828247983546,6.5811031759605925,-6.581103175960578,1.0940157596565798,0.7806298941346475,6.343310875694837,0.7523222019052095,1.1493008929494508,1.0,1506.0,8.244933970549496,76.93586023069238,9.124660119686435,13.939479649621179,6.935860230692384,-6.935860230692384,1.0990837175813197,0.7688046589769205,0.35475705473179175,0.20859154363055765,-0.5633485983623672,0.9798507804608864
Flagler,6.198354135748118,0.7009076904500365,0.7283854326381183,1.0,218.0,7.627647258836273,81.26167775479674,9.189041740729001,9.54928050447427,11.261677754796736,-11.261677754796729,1.1608811107828105,0.6246107415067756,6.238572420440035,0.7660574934153558,0.748238901349298,1.0,1424.0,7.75286881520469,80.46792186403488,9.880955188007146,9.651122947957983,10.467921864034878,-10.46792186403487,1.149541740914784,0.6510692711988376,-0.793755890761858,0.6919134472781447,0.1018424434837133,1.0164167995869702
Franklin,6.601303050573693,0.7327367136738157,1.0381168179903406,1.0,244.0,8.37215658223785,78.8482989505816,8.752066525229244,12.399634524189173,8.848298950581594,-8.848298950581583,1.126404270722594,0.7050567016472806,6.41045477359047,0.7831485449250589,0.9923900594160205,1.0,1548.0,8.185993377931547,78.31004103756402,9.566933526190393,12.123025436245582,8.31004103756402,-8.310041037564027,1.1187148719652003,0.7229986320811992,-0.5382579130175742,0.814867000961149,-0.27660908794359074,0.9777640082961108
Gadsden,5.172869561620064,0.5432471612342,0.0,0.0,113.0,5.716116722854265,90.49621994137766,9.503780058622334,0.0,20.49621994137766,-20.496219941377667,1.2928031420196808,0.3167926686207444,5.139491099982303,0.5628382005700558,0.0,0.0,855.0,5.70232930055236,90.12967910296699,9.870320897033011,0.0,20.12967910296699,-20.12967910296699,1.2875668443280999,0.32901069656776705,-0.3665408384106712,0.36654083841067653,0.0,0.9975879739742227
Gilchrist,5.2364562482009545,0.5524010126897736,0.0,0.0,119.0,5.788857260890727,90.45751194416607,9.542488055833942,0.0,20.45751194416607,-20.457511944166058,1.292250170630944,0.31808293519446473,5.205573124858003,0.572930526410133,0.0,0.0,869.0,5.778503651268136,90.08514035836252,9.914859641637486,0.0,20.085140358362523,-20.085140358362516,1.286930576548036,0.33049532138791615,-0.372371585803549,0.3723715858035437,0.0,0.9982114588154488
Glades,5.2862937328326645,0.5010126890025713,0.0,0.0,128.0,5.787306421835236,91.34290371921081,8.657096280789176,0.0,21.34290371921081,-21.342903719210824,1.3048986245601544,0.2885698760263059,5.161743612818661,0.5135535331008197,0.0,0.0,891.0,5.6752971459194805,90.95107234217573,9.048927657824278,0.0,20.951072342175735,-20.95107234217572,1.2993010334596533,0.301630921927476,-0.391831377035075,0.3918313770351016,0.0,0.9806456980585735
Gulf,6.415547538162525,0.728299471325613,1.086055335963286,1.0,231.0,8.229902345451425,77.95411499272925,8.84943029400751,13.196454713263236,7.954114992729245,-7.954114992729252,1.1136302141818464,0.7348628335756916,6.431746790012579,0.7770873131340981,1.0649099343949777,1.0,1494.0,8.273744037541656,77.73683547410802,9.392208770395934,12.870955755496034,7.73683547410802,-7.736835474108034,1.110526221058686,0.7421054841963989,-0.21727951862122552,0.542778476388424,-0.32549895776720206,1.0053271217871087
Hamilton,5.153852970631962,0.526274202182995,0.0,0.0,115.0,5.680127172814958,90.73481656006332,9.265183439936683,0.0,20.734816560063322,-20.734816560063315,1.2962116651437618,0.30883944799788954,5.056338770102006,0.5277549581571213,0.0,0.0,841.0,5.584093728259129,90.54895952970239,9.451040470297619,0.0,20.548959529702387,-20.54895952970238,1.293556564710034,0.31503468234325405,-0.18585703036093548,0.18585703036093548,0.0,0.9830930819620652
Hardee,5.352071407720004,0.5565911204652502,0.0,0.0,128.0,5.908662528185253,90.58008275459595,9.419917245404058,0.0,20.58008275459595,-20.580082754595942,1.2940011822085136,0.31399724151346864,5.217494628951081,0.5284892045391387,0.0,0.0,911.0,5.74598383349022,90.80245925060105,9.197540749398947,0.0,20.802459250601046,-20.802459250601053,1.2971779892943007,0.3065846916466316,0.22237649600509712,-0.22237649600511133,0.0,0.9724677634034724
Hendry,5.415099363427197,0.5583273564701843,0.0,0.0,128.0,5.973426719897382,90.65314797266356,9.346852027336427,0.0,20.65314797266356,-20.653147972663575,1.295044971038051,0.3115617342445475,5.219933857897754,0.5439847697147412,0.0,0.0,890.0,5.763918627612495,90.5622406411371,9.437759358862916,0.0,20.562240641137095,-20.562240641137084,1.293746294873387,0.31459197862876387,-0.09090733152646635,0.09090733152648944,0.0,0.9649266489556122
Hernando,6.343123797237259,0.6867173528376392,0.8198250576390856,1.0,244.0,7.849666207713983,80.80756084894128,8.74836374778321,10.44407540327551,10.807560848941279,-10.807560848941279,1.154393726413447,0.6397479717019574,6.326828503388139,0.7031592127651135,0.782239863867108,1.0,1549.0,7.8122275800203616,80.98622881351915,9.000751777424293,10.013019409056556,10.986228813519148,-10.986228813519151,1.1569461259074163,0.633792372882695,0.17866796457786904,0.2523880296410823,-0.4310559942189549,0.9952305452610418
Highlands,5.132957316061796,0.5169849022405445,0.0,0.0,127.0,5.64994221830234,90.84973116068636,9.150268839313634,0.0,20.84973116068636,-20.849731160686368,1.2978533022955194,0.3050089613104544,5.151442224499243,0.5147653801555155,0.0,0.0,895.0,5.666207604654759,90.91516908535723,9.084830914642778,0.0,20.915169085357235,-20.91516908535722,1.2987881297908177,0.3028276971547593,0.06543792467087428,-0.06543792467085652,0.0,1.0028788588845616
