admin2_name,wind_weighted,rain_weighted,surge_weighted,is_coastal,n_extreme_events,mean_compound_hazard,wind_share,rain_share,surge_share,wind_deviation_pp,water_deviation_pp,wind_scaling,water_scaling
Duval,6.092397704154281,0.7642982060432549,0.71166235795371,1.0,1440.0,7.568358268151246,80.49827305073518,10.098599708995454,9.403127240269386,10.498273050735179,-10.498273050735158,1.149975329296217,0.6500575649754947
Escambia,6.343310875694837,0.7523222019052095,1.1493008929494508,1.0,1506.0,8.244933970549496,76.93586023069238,9.124660119686435,13.939479649621179,6.935860230692384,-6.935860230692384,1.0990837175813197,0.7688046589769205
Flagler,6.238572420440035,0.7660574934153558,0.748238901349298,1.0,1424.0,7.75286881520469,80.46792186403488,9.880955188007146,9.651122947957983,10.467921864034878,-10.46792186403487,1.149541740914784,0.6510692711988376
Franklin,6.41045477359047,0.7831485449250589,0.9923900594160205,1.0,1548.0,8.185993377931547,78.31004103756402,9.566933526190393,12.123025436245582,8.31004103756402,-8.310041037564027,1.1187148719652003,0.7229986320811992
Gadsden,5.139491099982303,0.5628382005700558,0.0,0.0,855.0,5.70232930055236,90.12967910296699,9.870320897033011,0.0,20.12967910296699,-20.12967910296699,1.2875668443280999,0.32901069656776705
Gilchrist,5.205573124858003,0.572930526410133,0.0,0.0,869.0,5.778503651268136,90.08514035836252,9.914859641637486,0.0,20.085140358362523,-20.085140358362516,1.286930576548036,0.33049532138791615
Glades,5.161743612818661,0.5135535331008197,0.0,0.0,891.0,5.6752971459194805,90.95107234217573,9.048927657824278,0.0,20.951072342175735,-20.95107234217572,1.2993010334596533,0.301630921927476
Gulf,6.431746790012579,0.7770873131340981,1.0649099343949777,1.0,1494.0,8.273744037541656,77.73683547410802,9.392208770395934,12.870955755496034,7.73683547410802,-7.736835474108034,1.110526221058686,0.7421054841963989
Hamilton,5.056338770102006,0.5277549581571213,0.0,0.0,841.0,5.584093728259129,90.54895952970239,9.451040470297619,0.0,20.548959529702387,-20.54895952970238,1.293556564710034,0.31503468234325405
Hardee,5.217494628951081,0.5284892045391387,0.0,0.0,911.0,5.74598383349022,90.80245925060105,9.197540749398947,0.0,20.802459250601046,-20.802459250601053,1.2971779892943007,0.3065846916466316
Hendry,5.219933857897754,0.5439847697147412,0.0,0.0,890.0,5.763918627612495,90.5622406411371,9.437759358862916,0.0,20.562240641137095,-20.562240641137084,1.293746294873387,0.31459197862876387
Hernando,6.326828503388139,0.7031592127651135,0.782239863867108,1.0,1549.0,7.8122275800203616,80.98622881351915,9.000751777424293,10.013019409056556,10.986228813519148,-10.986228813519151,1.1569461259074163,0.633792372882695
Highlands,5.151442224499243,0.5147653801555155,0.0,0.0,895.0,5.666207604654759,90.91516908535723,9.084830914642778,0.0,20.915169085357235,-20.91516908535722,1.2987881297908177,0.3028276971547593
Hillsborough,6.330278431605696,0.7279229207395196,0.8975406543293538,1.0,1548.0,7.955742006674569,79.56867412611959,9.149654678706518,11.281671195173885,9.56867412611959,-9.568674126119596,1.1366953446588512,0.6810441957960134
Holmes,5.12270531658183,0.5546345288507988,0.0,0.0,818.0,5.67733984543263,90.23073228041831,9.76926771958169,0.0,20.23073228041831,-20.23073228041831,1.289010461148833,0.32564225731938967
Indian River,6.273245728078771,0.7778968162960146,1.073721087180404,1.0,1360.0,8.12486363155519,77.21047407755694,9.574275354909759,13.2152505675333,7.210474077556938,-7.210474077556942,1.1030067725365278,0.7596508640814352
Jackson,5.13225213967087,0.5444596289226377,0.0,0.0,836.0,5.676711768593508,90.40889072552763,9.591109274472393,0.0,20.408890725527627,-20.408890725527606,1.2915555817932518,0.3197036424824131
Jefferson,6.24330493509887,0.6910613971900829,1.0401480459463934,1.0,1480.0,7.974514378235344,78.29072265690027,8.665874364414972,13.043402978684759,8.290722656900272,-8.290722656900272,1.1184388950985753,0.7236425781033242
Lafayette,5.204937275719784,0.5830732618473936,0.0,0.0,869.0,5.788010537567178,89.92618866080242,10.073811339197588,0.0,19.926188660802424,-19.92618866080241,1.2846598380114633,0.3357937113065863
Lake,5.07494202704552,0.5175548694164152,0.0,0.0,882.0,5.592496896461935,90.74554927792909,9.254450722070917,0.0,20.745549277929086,-20.745549277929083,1.2963649896847012,0.3084816907356972
Lee,6.57545807034041,0.7842110696833863,1.135906885260392,1.0,1549.0,8.495576025284187,77.39861371107501,9.23081692576759,13.37056936315739,7.398613711075015,-7.398613711075022,1.105694481586786,0.7533795429641659
Leon,5.2070936461818995,0.574612066128344,0.0,0.0,855.0,5.781705712310245,90.06154766914379,9.93845233085621,0.0,20.061547669143792,-20.061547669143792,1.2865935381306257,0.33128174436187363
Levy,6.321999056546133,0.7228210157258921,0.9397313593481796,1.0,1516.0,7.984551431620204,79.17788633072013,9.05274418877679,11.769369480503073,9.177886330720128,-9.177886330720135,1.1311126618674303,0.6940704556426622
Liberty,5.236869662236789,0.6067772154355314,0.0,0.0,879.0,5.843646877672321,89.61646334664857,10.383536653351422,0.0,19.616463346648572,-19.61646334664858,1.2802351906664082,0.3461178884450473
Madison,5.094425512785138,0.550833863331646,0.0,0.0,861.0,5.645259376116784,90.24254110161809,9.757458898381905,0.0,20.242541101618087,-20.242541101618095,1.289179158594544,0.3252486299460635
Manatee,6.398132898806368,0.7597275319977401,0.8742865320380463,1.0,1546.0,8.032146962842154,79.65657162904306,9.45858604819293,10.884842322764001,9.656571629043057,-9.656571629043071,1.1379510232720436,0.6781142790318977
Marion,5.100525073971844,0.5159783412351977,0.0,0.0,876.0,5.616503415207041,90.813174975766,9.186825024233999,0.0,20.813174975766003,-20.813174975766003,1.2973310710823716,0.3062275008077999
Martin,6.33196934892948,0.76371060255056,0.7971340830089442,1.0,1514.0,7.892814034488984,80.22448421134553,9.676024282510616,10.099491506143842,10.224484211345526,-10.22448421134554,1.1460640601620788,0.6591838596218154
Miami-Dade,6.726763709472085,0.9026495290152212,0.8670985172482752,1.0,1550.0,8.49651175573558,79.17088686343752,10.623766022637309,10.205347113925187,9.170886863437516,-9.170886863437502,1.1310126694776788,0.6943037712187499
Monroe,6.738142038796138,0.8996000841158026,0.9146976343118095,1.0,1549.0,8.55243975722375,78.7861970393281,10.51863689955796,10.695166061113934,8.786197039328101,-8.786197039328108,1.12551710056183,0.7071267653557297
Nassau,6.0637134578547345,0.7448778150549146,0.7803833719350156,1.0,1350.0,7.588974644844665,79.90161703826392,9.815262929636011,10.283120032100053,9.901617038263922,-9.901617038263936,1.1414516719751988,0.6699460987245355
Okaloosa,6.271321586416215,0.7459540650671375,1.0089818181824273,1.0,1546.0,8.02625746966578,78.13506618891654,9.29392145575165,12.571012355331808,8.13506618891654,-8.13506618891654,1.1162152312702363,0.7288311270361154
Okeechobee,5.165643953341081,0.5587957542905247,0.0,0.0,878.0,5.724439707631606,90.23842012790247,9.761579872097515,0.0,20.238420127902472,-20.238420127902486,1.289120287541464,0.3253859957365838
Orange,5.107984267154438,0.563381481439433,0.0,0.0,876.0,5.67136574859387,90.06621144864242,9.933788551357578,0.0,20.06621144864242,-20.06621144864242,1.2866601635520345,0.33112628504525266
Osceola,5.1180663422640995,0.5411914147480107,0.0,0.0,876.0,5.65925775701211,90.43706015903858,9.56293984096142,0.0,20.43706015903858,-20.43706015903858,1.2919580022719797,0.3187646613653806
Palm Beach,6.419949701617777,0.8009969723787572,0.6739140157601364,1.0,1540.0,7.894860689756671,81.31808722030341,10.145802489181666,8.536110290514921,11.318087220303411,-11.318087220303411,1.1616869602900488,0.6227304259898863
Pasco,6.2965248295466925,0.725519183630854,0.8933484184751657,1.0,1535.0,7.9153924316527124,79.54785418304265,9.165928157012017,11.286217659945345,9.547854183042645,-9.547854183042638,1.1363979169006093,0.6817381938985787
