 NAIC,Company,CoveragePct,FHCFPremium
25674,Travelers Property Casualty Company of America,0.9,209583
17678,Trident Reciprocal Exchange,0.9,823532
21709,Truck Insurance Exchange,0.9,5698804
16881,Trusted Resource Underwriters Exchange,0.9,3360040
29459,Twin City Fire Insurance Company,0.9,640
15885,Typtap Insurance Company,0.9,30406471
10655,Unique Insurance Company,0.9,1690673
11142,United Casualty Insurance Company of America,0.9,54869
25941,United Services Automobile Association,0.9,30309427
10759,Universal North America Insurance Company,0.9,2350754
10861,Universal Property and Casualty Insurance Company,0.9,106384010
15900,US Coastal Property and Casualty Insurance Company,0.9,5494627
25968,USAA Casualty Insurance Company,0.9,13065475
18600,USAA General Indemnity Company,0.9,8268869
16186,Vault Reciprocal Exchange,0.45,433104
20397,Vigilant Insurance Company,0.9,73239
17153,VYRD Insurance Company,0.9,6110569
24112,Westfield Insurance Company,0.9,13191
16535,Zurich American Insurance Company,0.9,20509
