state,county_fips,year,claims_usd
FL,12031,2003,28918
FL,12003,1992,103042
FL,12133,1994,313252
FL,12011,2018,640844
FL,12115,1987,72061
FL,12057,1992,2154
FL,12087,1983,14688
FL,12033,2017,77556
FL,12071,2010,43593
FL,12073,2009,127342
FL,12095,2001,1245
FL,12029,2005,343229
FL,12123,1996,178206
FL,12017,1978,3259
FL,12067,2004,168490
FL,12041,1998,257883
FL,12127,1983,0
FL,12053,2021,143873
FL,12089,1979,11459
FL,12009,1993,14472
FL,12029,2016,587811
FL,12085,2012,604524
FL,12005,2019,137600
FL,12019,2020,32138
FL,12086,2025,172914
FL,12041,1986,10501
FL,12071,2015,208484
FL,12086,1986,89650
FL,12109,1982,6893
FL,12089,2022,83721
FL,12071,1990,21747
FL,12035,1994,20723
FL,12009,1979,29017
FL,12075,2003,35300
FL,12099,2010,59673
FL,12033,1983,12744
FL,12083,2013,1263
FL,12053,1992,5000
FL,12099,2021,0
FL,12105,2014,3038
FL,12115,2002,3988
FL,,2016,452085
FL,12123,2022,11524
FL,12071,1994,0
FL,12011,1987,1221
FL,12047,1991,37235
FL,12069,2020,8529
FL,12027,1992,7235
FL,12113,1985,3558
FL,12005,1983,0
FL,12109,2013,322895
FL,12117,2006,15951
FL,12099,1987,357
FL,12097,2016,14561
FL,12091,2016,5124
FL,12057,1984,1330
FL,12127,2021,1520
FL,12005,2000,77843
FL,12049,2001,724
FL,12133,2022,288747
FL,12001,1983,0
FL,12131,2016,0
FL,12075,2005,37115
FL,12117,1978,0
FL,12129,1993,29390
FL,12067,1994,2889
FL,12043,2022,0
FL,12001,1978,7164
FL,12101,2006,33725
FL,12013,2014,87349
FL,12023,2003,60574
FL,12019,1994,0
FL,12129,2003,2681
FL,12083,2024,31383
FL,12133,2021,386181
FL,12047,1983,71
FL,12123,2012,0
FL,12063,2008,4168
FL,12083,2005,36162
FL,12095,1982,82
FL,12049,1994,53500
FL,12079,2024,14025
FL,12107,2009,14287
FL,12061,2001,0
FL,12067,1988,0
FL,12075,2018,90775
FL,12033,1994,3196
FL,12083,2020,0
FL,12105,1999,0
FL,12073,2017,0
FL,12095,2007,0
FL,12019,1979,289
FL,12027,2009,2923
FL,12069,1997,1140
FL,12039,1998,1515
FL,12101,2010,133858
FL,12015,2008,60916
FL,12115,1988,594649
FL,12101,2001,11734
FL,12111,1993,204
FL,12099,1999,3064167
FL,12041,2012,7980
FL,12105,2006,15002
FL,12131,2014,4904242
FL,12086,2010,736519
FL,12086,2009,9685054
FL,12099,2004,8738894
FL,12101,2012,4943450
FL,12031,2012,1397591
FL,12011,1999,7796893
FL,12005,1995,55091466
FL,12103,1986,70081
FL,12087,1992,17166
FL,12103,1982,2040736
FL,12129,2012,928288
FL,12099,2022,369776
FL,12033,1995,22953126
FL,12011,2014,23293
FL,12009,2017,9085555
FL,12086,1991,1443888
FL,12115,1992,2770677
FL,12029,1993,727863
FL,12111,2017,3114178
FL,12097,2017,863041
FL,12117,2024,1004003
FL,12113,1998,1117220
FL,12129,1985,655492
FL,12041,2013,25971
FL,12031,2023,15475
FL,12101,2003,755702
FL,12019,2017,25739272
FL,12015,2001,1266704
FL,12011,2007,99750
FL,12115,1983,81019
FL,12115,2020,1650938
FL,12099,1994,272954
FL,12029,1995,120854
FL,12087,2022,10955727
FL,12021,1979,6238
FL,12117,2014,11732
FL,12019,2004,730060
FL,12081,1997,459448
FL,12031,1980,3509
FL,12037,1994,50526
FL,12115,1999,205311
FL,12121,2024,959807
FL,12015,1992,48706
FL,12131,2001,0
FL,12017,1988,28732
FL,12029,2024,3894894
FL,12131,2021,7796
FL,12081,2012,260675
FL,,1980,8425
FL,12047,2009,189984
FL,12021,1982,33738
FL,12111,1982,4245
FL,12101,1979,58601
FL,12103,2022,34462
FL,12113,2008,33990
FL,,1987,15361
FL,12085,2008,300889
FL,12019,2016,324067
FL,12099,1978,93226
FL,12089,1995,219059
FL,12053,2000,199
FL,12115,1993,412418
FL,12031,2013,174947
FL,12103,2010,85978
FL,12115,1994,13073
FL,12079,2005,23374
FL,12093,2004,221117
FL,12085,2019,22371
FL,12083,1985,224
FL,12103,1984,1719
FL,12111,1981,0
FL,12083,1982,66932
FL,12095,2018,848
FL,12083,1984,0
FL,12081,1990,1325
FL,12113,1988,59943
FL,12085,2005,340831
FL,12087,2024,87600
FL,12073,1998,306011
FL,12057,2021,180176
FL,12086,1978,28885
FL,12111,1983,1947
FL,12021,1984,2099
FL,12109,1998,18855
FL,12023,2024,31833
FL,12011,1980,5440
FL,12057,1981,9235
FL,12133,2002,14039
FL,,2000,0
FL,12007,1998,45309
FL,12121,2005,80999
FL,12085,2003,10646
FL,12123,2003,5335
FL,12049,2003,0
FL,12101,1984,7951
FL,12107,1982,0
FL,12091,1996,0
FL,12061,2000,0
FL,12029,1986,6745
FL,12033,1991,0
FL,12095,2011,1894
FL,12061,1981,0
FL,12109,2002,0
FL,,2018,64467
FL,12091,1990,4218
FL,12057,2025,0
FL,12001,1984,2343
FL,12005,2010,113168
FL,12053,2011,8770
FL,12105,1988,9910
FL,12015,2018,34000
FL,12031,2018,36137
FL,12035,2021,0
FL,12001,2024,0
FL,12109,2006,1000
FL,12061,2020,18296
FL,12053,1978,193
FL,12001,2021,575239
FL,12041,1988,1970
FL,,2005,630978
FL,12061,1982,2301
FL,12117,1998,63005
FL,12045,1990,31430
FL,12019,2019,0
FL,12089,2009,0
FL,12009,2002,1087
FL,12001,1985,83813
FL,12081,2010,0
FL,12087,2021,0
FL,12131,1993,0
FL,12037,2008,67864
FL,12033,2015,5534
FL,12001,1991,1875
FL,12089,2014,1861
FL,12007,2013,57341
FL,12087,2010,18085
FL,12125,1992,41247
FL,12123,2017,5487
FL,12031,1988,0
FL,12009,1985,0
FL,12021,1991,0
FL,12097,1997,0
FL,12005,2015,15552
FL,12093,2014,2952
FL,12095,2012,0
FL,12019,2014,2893
FL,12009,2007,0
FL,12075,2019,114566
FL,12073,2012,0
FL,12087,2016,0
FL,12109,1983,0
FL,12127,2010,0
FL,12005,2011,0
FL,12001,1993,30625
FL,12001,2022,0
FL,12029,2017,0
FL,12027,2018,5215
FL,12037,1982,0
FL,12105,2021,0
