event_id,total_damage_usd
FL_era5_reanalcal_00276,627006540.8729074
FL_era5_reanalcal_00277,0.0
FL_era5_reanalcal_00278,616450651.7205994
FL_era5_reanalcal_00279,2220070718.112961
FL_era5_reanalcal_00280,0.0
FL_era5_reanalcal_00281,0.0
FL_era5_reanalcal_00282,4526498959.892196
FL_era5_reanalcal_00283,0.0
FL_era5_reanalcal_00284,0.0
FL_era5_reanalcal_00285,0.0
FL_era5_reanalcal_00286,0.0
FL_era5_reanalcal_00287,215656570.09565765
FL_era5_reanalcal_00288,2707769728.073585
FL_era5_reanalcal_00289,0.0
FL_era5_reanalcal_00290,2151592.806092437
FL_era5_reanalcal_00291,0.0
FL_era5_reanalcal_00292,0.0
FL_era5_reanalcal_00293,0.0
FL_era5_reanalcal_00294,0.0
FL_era5_reanalcal_00295,0.0
FL_era5_reanalcal_00296,0.0
FL_era5_reanalcal_00297,0.0
FL_era5_reanalcal_00298,0.0
FL_era5_reanalcal_00299,156623.4178045666
FL_era5_reanalcal_00300,718100.6382795053
FL_era5_reanalcal_00301,0.0
FL_era5_reanalcal_00302,3958727887.1398106
FL_era5_reanalcal_00303,0.0
FL_era5_reanalcal_00304,0.0
FL_era5_reanalcal_00305,0.0
FL_era5_reanalcal_00306,0.0
FL_era5_reanalcal_00307,142202.73454099242
FL_era5_reanalcal_00308,11990725.5598031
FL_era5_reanalcal_00309,1064904024.0179214
FL_era5_reanalcal_00310,176017491.79772142
FL_era5_reanalcal_00311,345427202.1164272
FL_era5_reanalcal_00312,8540156.171052732
FL_era5_reanalcal_00313,559.6706093287353
FL_era5_reanalcal_00314,0.0
FL_era5_reanalcal_00315,0.0
FL_era5_reanalcal_00316,0.0
FL_era5_reanalcal_00317,5112662425.469984
FL_era5_reanalcal_00318,388430.9653229598
FL_era5_reanalcal_00319,0.0
FL_era5_reanalcal_00320,0.0
FL_era5_reanalcal_00321,0.0
FL_era5_reanalcal_00322,0.0
FL_era5_reanalcal_00323,0.0
FL_era5_reanalcal_00324,6710931.036464229
FL_era5_reanalcal_00325,0.0
FL_era5_reanalcal_00326,3050995940.1501293
FL_era5_reanalcal_00327,0.0
FL_era5_reanalcal_00328,0.0
FL_era5_reanalcal_00329,115612.04498934843
FL_era5_reanalcal_00330,49494738.75723198
FL_era5_reanalcal_00331,0.0
FL_era5_reanalcal_00332,0.0
FL_era5_reanalcal_00333,722741850.3691405
FL_era5_reanalcal_00334,17023258.421400778
FL_era5_reanalcal_00335,0.0
FL_era5_reanalcal_00336,663888609.5201044
FL_era5_reanalcal_00337,9111198247.863066
FL_era5_reanalcal_00338,0.0
FL_era5_reanalcal_00339,0.0
FL_era5_reanalcal_00340,0.0
FL_era5_reanalcal_00341,15599566172.138247
FL_era5_reanalcal_00342,0.0
FL_era5_reanalcal_00343,127841666.08508779
FL_era5_reanalcal_00344,0.0
FL_era5_reanalcal_00345,0.0
FL_era5_reanalcal_00346,0.0
FL_era5_reanalcal_00347,0.0
FL_era5_reanalcal_00348,9233446.53575411
FL_era5_reanalcal_00349,63068876267.689575
FL_era5_reanalcal_00350,0.0
FL_era5_reanalcal_00351,4261979211.400839
FL_era5_reanalcal_00352,565644184.4500716
FL_era5_reanalcal_00353,130443956514.07504
